reward: 0.2636, epoch: 0, params: 2476883, epoch_time: 54.3999, genotype: [[6, [0, 0, 3, 1], [1, 0, 8, 0], [6, 2, 7, 0]], [[3, 0], [3, 1], [2, 1]]]
reward: 0.2977, epoch: 14, params: 2412499, epoch_time: 46.9011, genotype: [[10, [0, 0, 7, 8], [1, 2, 6, 6], [4, 3, 9, 0]], [[2, 1], [1, 1], [5, 5]]]
reward: 0.3423, epoch: 15, params: 2409043, epoch_time: 116.9773, genotype: [[0, [0, 0, 5, 6], [1, 2, 4, 9], [1, 0, 8, 10]], [[0, 0], [4, 0], [1, 0]]]
reward: 0.0758, epoch: 16, params: 2457043, epoch_time: 34.0586, genotype: [[1, [0, 0, 7, 6], [1, 2, 9, 3], [3, 3, 3, 3]], [[0, 0], [1, 4], [1, 0]]]
reward: 0.2571, epoch: 17, params: 1998035, epoch_time: 108.8490, genotype: [[7, [0, 0, 4, 8], [2, 0, 4, 9], [1, 0, 10, 10]], [[3, 0], [0, 1], [2, 1]]]
reward: 0.2441, epoch: 18, params: 2244691, epoch_time: 75.1490, genotype: [[3, [0, 0, 2, 0], [3, 2, 6, 4], [3, 1, 9, 7]], [[1, 1], [2, 4], [0, 0]]]
reward: 0.2733, epoch: 19, params: 2406355, epoch_time: 50.5616, genotype: [[7, [0, 0, 7, 6], [2, 1, 10, 0], [4, 2, 1, 9]], [[3, 1], [2, 3], [0, 4]]]
reward: 0.3453, epoch: 20, params: 2605651, epoch_time: 46.2194, genotype: [[5, [0, 0, 4, 1], [3, 3, 5, 8], [3, 0, 9, 9]], [[2, 3], [4, 2], [1, 2]]]
reward: 0.2865, epoch: 21, params: 2262483, epoch_time: 173.1162, genotype: [[0, [0, 0, 1, 0], [1, 3, 2, 3], [2, 0, 4, 4]], [[1, 0], [2, 4], [0, 5]]]
reward: 0.2825, epoch: 22, params: 2219347, epoch_time: 46.9286, genotype: [[2, [0, 0, 2, 10], [2, 3, 6, 10], [3, 0, 0, 3]], [[1, 1], [4, 4], [4, 2]]]
reward: 0.2317, epoch: 23, params: 2237139, epoch_time: 170.4952, genotype: [[4, [0, 0, 4, 0], [1, 1, 10, 8], [4, 0, 7, 1]], [[0, 1], [4, 3], [5, 0]]]
reward: 0.2395, epoch: 24, params: 2171347, epoch_time: 49.4315, genotype: [[10, [0, 0, 3, 3], [0, 1, 10, 10], [5, 1, 10, 5]], [[1, 2], [1, 0], [4, 2]]]
reward: 0.2219, epoch: 25, params: 2248787, epoch_time: 55.4646, genotype: [[2, [0, 0, 9, 2], [0, 2, 0, 3], [6, 0, 5, 0]], [[0, 1], [2, 0], [3, 2]]]
reward: 0.2244, epoch: 26, params: 2209747, epoch_time: 79.3717, genotype: [[4, [0, 0, 0, 9], [1, 1, 2, 2], [5, 4, 9, 6]], [[0, 1], [1, 2], [1, 4]]]
reward: 0.2378, epoch: 27, params: 2480339, epoch_time: 72.3698, genotype: [[1, [0, 0, 4, 3], [3, 1, 6, 2], [6, 2, 7, 3]], [[2, 2], [0, 0], [2, 3]]]
reward: 0.3399, epoch: 28, params: 2846803, epoch_time: 61.9963, genotype: [[7, [0, 0, 6, 0], [2, 3, 5, 0], [2, 0, 1, 1]], [[0, 0], [3, 2], [0, 4]]]
reward: 0.2492, epoch: 29, params: 2385107, epoch_time: 46.5286, genotype: [[7, [0, 0, 1, 2], [0, 3, 10, 9], [4, 0, 10, 5]], [[2, 1], [1, 3], [2, 1]]]
reward: 0.3047, epoch: 30, params: 2248787, epoch_time: 73.5562, genotype: [[2, [0, 0, 4, 4], [2, 2, 1, 10], [2, 1, 2, 8]], [[3, 2], [3, 3], [0, 2]]]
reward: 0.2557, epoch: 31, params: 3059155, epoch_time: 57.6177, genotype: [[6, [0, 0, 6, 3], [0, 0, 8, 6], [4, 2, 5, 1]], [[1, 1], [2, 0], [4, 1]]]
reward: 0.0758, epoch: 32, params: 2286547, epoch_time: 32.0489, genotype: [[5, [0, 0, 2, 3], [3, 3, 3, 2], [5, 3, 2, 7]], [[2, 0], [0, 1], [3, 4]]]
reward: 0.2803, epoch: 33, params: 2280275, epoch_time: 56.1258, genotype: [[3, [0, 0, 3, 0], [3, 0, 0, 0], [6, 2, 5, 2]], [[0, 0], [3, 1], [1, 3]]]
reward: 0.2114, epoch: 34, params: 2857043, epoch_time: 141.9076, genotype: [[5, [0, 0, 6, 1], [3, 1, 4, 5], [0, 4, 4, 8]], [[1, 0], [2, 1], [0, 0]]]
reward: 0.2308, epoch: 35, params: 2256339, epoch_time: 66.2139, genotype: [[9, [0, 0, 8, 2], [0, 2, 0, 3], [5, 3, 5, 3]], [[0, 2], [4, 0], [5, 2]]]
reward: 0.2472, epoch: 36, params: 2422099, epoch_time: 47.8097, genotype: [[7, [0, 0, 8, 6], [2, 3, 10, 5], [1, 0, 8, 10]], [[1, 1], [1, 2], [2, 5]]]
reward: 0.3586, epoch: 37, params: 2276179, epoch_time: 52.5040, genotype: [[8, [0, 0, 0, 8], [2, 0, 0, 0], [6, 1, 5, 7]], [[2, 2], [1, 4], [2, 0]]]
reward: 0.3302, epoch: 38, params: 2235091, epoch_time: 97.2763, genotype: [[0, [0, 0, 0, 7], [3, 2, 7, 1], [1, 3, 4, 10]], [[1, 0], [4, 3], [0, 2]]]
reward: 0.2194, epoch: 39, params: 2260435, epoch_time: 46.9403, genotype: [[8, [0, 0, 10, 1], [2, 0, 8, 8], [2, 3, 4, 7]], [[2, 3], [2, 2], [3, 5]]]
reward: 0.1836, epoch: 40, params: 2196691, epoch_time: 49.9974, genotype: [[6, [0, 0, 10, 4], [1, 2, 8, 10], [4, 5, 3, 9]], [[1, 2], [4, 2], [4, 3]]]
reward: 0.2898, epoch: 41, params: 2402899, epoch_time: 95.1479, genotype: [[6, [0, 0, 5, 9], [0, 1, 4, 9], [2, 5, 7, 0]], [[3, 0], [0, 2], [5, 1]]]
reward: 0.2598, epoch: 42, params: 2225491, epoch_time: 110.6902, genotype: [[3, [0, 0, 4, 7], [3, 2, 1, 9], [6, 6, 10, 8]], [[0, 0], [4, 3], [1, 0]]]
reward: 0.3157, epoch: 43, params: 2406995, epoch_time: 50.1300, genotype: [[5, [0, 0, 0, 10], [1, 0, 10, 5], [3, 3, 7, 0]], [[2, 3], [3, 1], [2, 0]]]
reward: 0.3582, epoch: 44, params: 2792659, epoch_time: 61.2650, genotype: [[10, [0, 0, 1, 6], [0, 2, 9, 0], [2, 6, 6, 5]], [[2, 0], [0, 3], [0, 4]]]
reward: 0.2535, epoch: 45, params: 2383699, epoch_time: 57.5475, genotype: [[0, [0, 0, 10, 5], [0, 3, 10, 1], [6, 5, 10, 8]], [[0, 2], [4, 1], [1, 4]]]
reward: 0.3560, epoch: 46, params: 2219347, epoch_time: 96.0198, genotype: [[6, [0, 0, 7, 4], [2, 0, 9, 10], [2, 3, 8, 7]], [[2, 0], [3, 4], [4, 3]]]
reward: 0.2522, epoch: 47, params: 2859859, epoch_time: 48.1161, genotype: [[5, [0, 0, 5, 5], [2, 3, 6, 2], [4, 5, 3, 7]], [[1, 2], [1, 4], [2, 2]]]
reward: 0.2482, epoch: 48, params: 2663251, epoch_time: 53.4585, genotype: [[6, [0, 0, 0, 7], [3, 0, 6, 1], [5, 1, 2, 8]], [[1, 0], [2, 2], [5, 1]]]
reward: 0.2439, epoch: 49, params: 2657107, epoch_time: 52.9509, genotype: [[7, [0, 0, 6, 2], [3, 0, 6, 2], [4, 6, 0, 5]], [[3, 2], [4, 0], [1, 1]]]
reward: 0.2455, epoch: 50, params: 2001491, epoch_time: 48.4486, genotype: [[2, [0, 0, 10, 10], [3, 1, 3, 7], [2, 5, 0, 9]], [[3, 1], [1, 0], [2, 3]]]
reward: 0.3791, epoch: 51, params: 2228947, epoch_time: 47.0491, genotype: [[7, [0, 0, 10, 7], [0, 0, 10, 8], [3, 0, 8, 5]], [[3, 1], [4, 4], [3, 4]]]
reward: 0.2267, epoch: 52, params: 2416595, epoch_time: 88.4864, genotype: [[2, [0, 0, 6, 9], [3, 1, 6, 4], [4, 3, 3, 10]], [[0, 2], [0, 0], [1, 1]]]
reward: 0.2620, epoch: 53, params: 2418643, epoch_time: 52.0987, genotype: [[10, [0, 0, 0, 8], [0, 3, 3, 6], [3, 4, 6, 10]], [[1, 1], [1, 0], [4, 4]]]
reward: 0.2661, epoch: 54, params: 2654291, epoch_time: 65.4199, genotype: [[6, [0, 0, 8, 8], [2, 2, 6, 8], [3, 2, 10, 6]], [[0, 3], [0, 2], [2, 0]]]
reward: 0.3087, epoch: 55, params: 2248787, epoch_time: 83.1404, genotype: [[5, [0, 0, 10, 4], [0, 3, 7, 0], [3, 0, 8, 2]], [[3, 1], [1, 0], [2, 0]]]
reward: 0.2427, epoch: 56, params: 2413907, epoch_time: 60.9399, genotype: [[7, [0, 0, 6, 10], [1, 3, 7, 7], [3, 2, 5, 9]], [[2, 0], [0, 2], [0, 0]]]
reward: 0.3026, epoch: 57, params: 2069971, epoch_time: 291.9941, genotype: [[4, [0, 0, 0, 4], [0, 3, 2, 4], [5, 2, 3, 4]], [[2, 0], [0, 3], [4, 4]]]
reward: 0.1969, epoch: 58, params: 2662611, epoch_time: 53.9118, genotype: [[3, [0, 0, 5, 2], [1, 3, 7, 2], [2, 5, 6, 6]], [[3, 2], [4, 1], [0, 5]]]
reward: 0.2836, epoch: 59, params: 3024211, epoch_time: 58.5737, genotype: [[6, [0, 0, 8, 9], [2, 1, 5, 5], [2, 0, 6, 6]], [[0, 3], [4, 1], [1, 2]]]
reward: 0.2400, epoch: 60, params: 2470739, epoch_time: 49.6280, genotype: [[3, [0, 0, 5, 0], [2, 2, 4, 7], [4, 0, 5, 7]], [[3, 1], [1, 3], [2, 2]]]
reward: 0.3626, epoch: 61, params: 2270035, epoch_time: 54.5682, genotype: [[1, [0, 0, 0, 0], [3, 3, 7, 7], [2, 1, 3, 4]], [[2, 1], [4, 1], [1, 1]]]
reward: 0.2795, epoch: 62, params: 2856403, epoch_time: 105.1690, genotype: [[5, [0, 0, 8, 1], [2, 0, 5, 1], [6, 0, 2, 4]], [[2, 0], [3, 4], [4, 2]]]
reward: 0.2400, epoch: 63, params: 2418643, epoch_time: 65.2131, genotype: [[5, [0, 0, 9, 6], [2, 0, 8, 0], [2, 6, 9, 3]], [[0, 1], [0, 0], [0, 4]]]
reward: 0.2982, epoch: 64, params: 2023379, epoch_time: 78.5451, genotype: [[8, [0, 0, 4, 0], [1, 3, 10, 10], [3, 4, 2, 0]], [[1, 1], [0, 3], [0, 2]]]
reward: 0.2029, epoch: 65, params: 2441299, epoch_time: 104.1071, genotype: [[8, [0, 0, 7, 5], [1, 0, 10, 7], [6, 6, 1, 4]], [[2, 0], [1, 4], [4, 1]]]
reward: 0.2980, epoch: 66, params: 2219347, epoch_time: 117.9788, genotype: [[5, [0, 0, 2, 4], [1, 3, 9, 3], [2, 2, 9, 2]], [[2, 0], [0, 0], [4, 4]]]
reward: 0.2438, epoch: 67, params: 2211795, epoch_time: 59.3016, genotype: [[0, [0, 0, 2, 0], [0, 0, 8, 10], [2, 1, 9, 6]], [[1, 0], [1, 0], [5, 4]]]
reward: 0.3601, epoch: 68, params: 2276179, epoch_time: 175.5611, genotype: [[4, [0, 0, 7, 0], [3, 0, 8, 3], [3, 1, 4, 1]], [[2, 0], [0, 3], [0, 5]]]
reward: 0.2136, epoch: 69, params: 2409043, epoch_time: 46.0205, genotype: [[0, [0, 0, 10, 9], [0, 1, 3, 6], [5, 1, 6, 0]], [[3, 1], [3, 2], [4, 4]]]
reward: 0.1969, epoch: 70, params: 2485843, epoch_time: 62.3655, genotype: [[7, [0, 0, 2, 6], [1, 1, 5, 8], [3, 2, 8, 3]], [[1, 1], [0, 4], [3, 0]]]
reward: 0.2428, epoch: 71, params: 2650835, epoch_time: 51.4559, genotype: [[0, [0, 0, 0, 5], [3, 0, 0, 0], [0, 6, 5, 5]], [[2, 1], [3, 3], [0, 3]]]
reward: 0.2354, epoch: 72, params: 2273491, epoch_time: 48.6288, genotype: [[8, [0, 0, 0, 2], [1, 1, 0, 7], [1, 5, 7, 6]], [[2, 3], [3, 2], [1, 5]]]
reward: 0.2706, epoch: 73, params: 2628307, epoch_time: 50.8494, genotype: [[2, [0, 0, 7, 9], [3, 2, 5, 5], [0, 1, 0, 5]], [[2, 3], [4, 1], [0, 2]]]
reward: 0.3371, epoch: 74, params: 2424787, epoch_time: 152.8769, genotype: [[4, [0, 0, 0, 10], [2, 3, 5, 0], [0, 0, 4, 1]], [[0, 3], [1, 4], [4, 1]]]
reward: 0.3635, epoch: 75, params: 2245331, epoch_time: 57.1439, genotype: [[0, [0, 0, 8, 7], [0, 2, 0, 10], [3, 0, 0, 6]], [[3, 0], [0, 0], [2, 2]]]
reward: 0.3488, epoch: 76, params: 2377555, epoch_time: 48.0836, genotype: [[9, [0, 0, 0, 9], [0, 3, 5, 10], [1, 3, 6, 2]], [[2, 3], [3, 1], [0, 4]]]
reward: 0.2891, epoch: 77, params: 2404947, epoch_time: 97.3784, genotype: [[10, [0, 0, 6, 6], [2, 3, 0, 8], [5, 0, 4, 10]], [[2, 0], [3, 4], [1, 5]]]
reward: 0.2575, epoch: 78, params: 2796755, epoch_time: 51.1617, genotype: [[1, [0, 0, 0, 1], [2, 2, 1, 10], [3, 4, 9, 5]], [[0, 2], [1, 2], [2, 2]]]
reward: 0.2671, epoch: 79, params: 2044627, epoch_time: 77.9234, genotype: [[10, [0, 0, 4, 7], [1, 1, 4, 0], [3, 6, 0, 8]], [[3, 2], [3, 1], [5, 0]]]
reward: 0.2534, epoch: 80, params: 2449491, epoch_time: 62.5797, genotype: [[9, [0, 0, 3, 5], [3, 2, 3, 8], [6, 2, 5, 0]], [[0, 0], [1, 1], [4, 5]]]
reward: 0.2420, epoch: 81, params: 2177491, epoch_time: 52.6337, genotype: [[10, [0, 0, 6, 10], [3, 3, 4, 0], [6, 1, 10, 4]], [[1, 2], [4, 3], [1, 2]]]
reward: 0.2764, epoch: 82, params: 2609747, epoch_time: 56.2005, genotype: [[8, [0, 0, 10, 6], [0, 3, 10, 5], [6, 0, 0, 5]], [[1, 3], [0, 1], [0, 1]]]
reward: 0.2558, epoch: 83, params: 2025427, epoch_time: 45.7516, genotype: [[0, [0, 0, 0, 9], [0, 1, 8, 9], [2, 3, 8, 0]], [[2, 3], [4, 1], [2, 2]]]
reward: 0.2796, epoch: 84, params: 2418643, epoch_time: 62.1203, genotype: [[8, [0, 0, 9, 8], [0, 2, 5, 9], [4, 6, 1, 0]], [[3, 0], [2, 4], [4, 0]]]
reward: 0.2586, epoch: 85, params: 2038483, epoch_time: 61.0502, genotype: [[8, [0, 0, 0, 2], [3, 0, 3, 10], [0, 2, 3, 9]], [[3, 0], [0, 1], [5, 3]]]
reward: 0.2438, epoch: 86, params: 2216531, epoch_time: 79.2358, genotype: [[10, [0, 0, 9, 4], [0, 3, 0, 8], [2, 0, 6, 0]], [[1, 0], [3, 1], [0, 3]]]
reward: 0.2538, epoch: 87, params: 2825555, epoch_time: 53.3468, genotype: [[1, [0, 0, 0, 5], [0, 0, 10, 6], [3, 0, 2, 5]], [[1, 3], [3, 0], [1, 3]]]
reward: 0.2200, epoch: 88, params: 2611155, epoch_time: 49.5823, genotype: [[8, [0, 0, 8, 6], [1, 1, 10, 1], [2, 3, 6, 9]], [[2, 1], [4, 4], [5, 4]]]
reward: 0.2300, epoch: 89, params: 2237139, epoch_time: 48.6137, genotype: [[4, [0, 0, 0, 6], [0, 0, 3, 10], [1, 2, 0, 7]], [[3, 1], [3, 2], [4, 5]]]
reward: 0.3274, epoch: 90, params: 2455635, epoch_time: 99.1728, genotype: [[1, [0, 0, 0, 4], [0, 1, 8, 6], [4, 0, 0, 0]], [[3, 0], [2, 4], [5, 2]]]
reward: 0.3124, epoch: 91, params: 2237139, epoch_time: 54.5422, genotype: [[0, [0, 0, 9, 8], [1, 2, 7, 0], [6, 1, 5, 0]], [[2, 3], [4, 0], [5, 4]]]
reward: 0.2929, epoch: 92, params: 2254931, epoch_time: 54.6237, genotype: [[0, [0, 0, 0, 8], [1, 1, 9, 5], [2, 1, 8, 2]], [[3, 1], [0, 0], [2, 2]]]
reward: 0.2523, epoch: 93, params: 2235091, epoch_time: 62.7288, genotype: [[9, [0, 0, 8, 8], [2, 0, 7, 1], [5, 3, 8, 10]], [[2, 0], [0, 1], [5, 2]]]
reward: 0.3158, epoch: 94, params: 2212435, epoch_time: 116.9405, genotype: [[4, [0, 0, 5, 0], [2, 2, 10, 0], [2, 0, 3, 9]], [[1, 0], [0, 4], [0, 0]]]
reward: 0.0758, epoch: 95, params: 2466643, epoch_time: 33.5398, genotype: [[7, [0, 0, 0, 8], [0, 0, 6, 0], [0, 3, 2, 6]], [[2, 0], [4, 0], [0, 2]]]
reward: 0.0758, epoch: 96, params: 2663891, epoch_time: 33.4716, genotype: [[0, [0, 0, 7, 5], [0, 0, 1, 0], [4, 4, 5, 8]], [[0, 0], [2, 0], [1, 0]]]
reward: 0.1895, epoch: 97, params: 2041939, epoch_time: 63.6791, genotype: [[10, [0, 0, 7, 2], [0, 1, 3, 3], [4, 2, 10, 8]], [[0, 0], [3, 4], [4, 2]]]
reward: 0.2706, epoch: 98, params: 2126803, epoch_time: 47.0137, genotype: [[9, [0, 0, 10, 10], [3, 1, 0, 6], [2, 1, 10, 9]], [[2, 1], [2, 1], [0, 4]]]
reward: 0.2548, epoch: 99, params: 2187091, epoch_time: 48.0008, genotype: [[0, [0, 0, 8, 9], [3, 2, 0, 1], [3, 0, 10, 9]], [[2, 2], [2, 2], [5, 0]]]
reward: 0.2986, epoch: 100, params: 2818003, epoch_time: 56.7280, genotype: [[6, [0, 0, 5, 5], [3, 1, 0, 6], [1, 0, 0, 10]], [[0, 1], [4, 1], [3, 1]]]
reward: 0.2554, epoch: 101, params: 2412499, epoch_time: 55.3228, genotype: [[6, [0, 0, 10, 10], [2, 3, 7, 6], [3, 6, 8, 0]], [[2, 0], [2, 1], [2, 4]]]
reward: 0.3022, epoch: 102, params: 2247379, epoch_time: 50.5353, genotype: [[5, [0, 0, 8, 3], [3, 3, 0, 0], [2, 2, 10, 0]], [[3, 2], [4, 0], [2, 4]]]
reward: 0.0758, epoch: 103, params: 2859859, epoch_time: 39.4033, genotype: [[8, [0, 0, 5, 2], [0, 3, 1, 7], [2, 0, 1, 5]], [[0, 0], [4, 4], [4, 1]]]
reward: 0.2399, epoch: 104, params: 2611155, epoch_time: 64.7444, genotype: [[9, [0, 0, 8, 6], [0, 2, 6, 8], [6, 1, 9, 5]], [[3, 0], [4, 0], [5, 2]]]
reward: 0.3255, epoch: 105, params: 2630355, epoch_time: 85.3570, genotype: [[8, [0, 0, 10, 5], [0, 2, 1, 4], [3, 0, 1, 2]], [[1, 2], [0, 3], [4, 5]]]
reward: 0.3744, epoch: 106, params: 2280275, epoch_time: 90.5700, genotype: [[0, [0, 0, 0, 7], [0, 3, 5, 3], [0, 3, 8, 4]], [[0, 0], [3, 2], [0, 3]]]
reward: 0.2597, epoch: 107, params: 2470099, epoch_time: 52.4760, genotype: [[7, [0, 0, 5, 1], [2, 2, 3, 7], [2, 0, 7, 0]], [[3, 3], [4, 3], [0, 1]]]
reward: 0.0758, epoch: 108, params: 2482387, epoch_time: 36.9993, genotype: [[2, [0, 0, 5, 8], [0, 1, 0, 3], [3, 4, 3, 5]], [[0, 0], [3, 4], [0, 2]]]
reward: 0.2079, epoch: 109, params: 2241235, epoch_time: 80.5833, genotype: [[10, [0, 0, 0, 4], [1, 2, 1, 7], [3, 0, 8, 4]], [[1, 1], [0, 4], [2, 3]]]
reward: 0.2624, epoch: 110, params: 2454995, epoch_time: 60.7876, genotype: [[3, [0, 0, 6, 3], [3, 3, 1, 10], [3, 5, 7, 2]], [[0, 0], [3, 3], [1, 0]]]
reward: 0.3220, epoch: 111, params: 2044627, epoch_time: 89.0793, genotype: [[8, [0, 0, 0, 0], [2, 1, 10, 4], [2, 1, 7, 0]], [[1, 0], [1, 1], [0, 4]]]
reward: 0.2632, epoch: 112, params: 2272723, epoch_time: 82.0798, genotype: [[0, [0, 0, 4, 0], [1, 0, 4, 8], [4, 1, 6, 8]], [[3, 1], [4, 2], [0, 2]]]
reward: 0.3165, epoch: 113, params: 2209747, epoch_time: 46.3310, genotype: [[5, [0, 0, 7, 0], [1, 2, 0, 7], [0, 0, 10, 10]], [[2, 1], [4, 3], [2, 4]]]
reward: 0.2654, epoch: 114, params: 2441299, epoch_time: 100.3424, genotype: [[1, [0, 0, 7, 2], [2, 3, 8, 10], [2, 4, 6, 4]], [[2, 0], [4, 2], [4, 2]]]
reward: 0.2560, epoch: 115, params: 2630995, epoch_time: 52.6003, genotype: [[8, [0, 0, 0, 0], [0, 2, 6, 9], [5, 0, 6, 6]], [[0, 3], [2, 1], [3, 5]]]
reward: 0.2427, epoch: 116, params: 2635091, epoch_time: 59.4502, genotype: [[0, [0, 0, 0, 6], [0, 3, 10, 5], [2, 2, 1, 8]], [[0, 1], [1, 1], [2, 0]]]
reward: 0.1915, epoch: 117, params: 2402899, epoch_time: 96.5790, genotype: [[10, [0, 0, 0, 10], [3, 1, 6, 2], [4, 3, 4, 5]], [[0, 1], [0, 3], [5, 3]]]
reward: 0.3049, epoch: 118, params: 2621395, epoch_time: 46.4913, genotype: [[6, [0, 0, 9, 0], [0, 3, 4, 0], [4, 0, 5, 5]], [[2, 3], [3, 3], [4, 1]]]
reward: 0.2662, epoch: 119, params: 2646739, epoch_time: 101.1966, genotype: [[6, [0, 0, 4, 0], [2, 3, 0, 0], [5, 2, 1, 1]], [[3, 0], [0, 1], [4, 2]]]
reward: 0.2218, epoch: 120, params: 2574803, epoch_time: 78.5482, genotype: [[10, [0, 0, 10, 1], [1, 2, 4, 6], [2, 3, 6, 10]], [[2, 0], [2, 0], [1, 2]]]
reward: 0.2576, epoch: 121, params: 2469331, epoch_time: 141.5118, genotype: [[8, [0, 0, 4, 8], [0, 2, 0, 6], [4, 1, 5, 4]], [[2, 0], [1, 1], [0, 4]]]
reward: 0.2173, epoch: 122, params: 2476243, epoch_time: 49.4129, genotype: [[5, [0, 0, 2, 2], [3, 2, 8, 4], [3, 3, 8, 6]], [[2, 2], [3, 3], [4, 2]]]
reward: 0.2867, epoch: 123, params: 2391251, epoch_time: 54.6954, genotype: [[5, [0, 0, 10, 6], [3, 3, 7, 10], [1, 5, 8, 10]], [[2, 0], [0, 1], [3, 2]]]
reward: 0.2959, epoch: 124, params: 2441939, epoch_time: 52.8944, genotype: [[6, [0, 0, 0, 8], [3, 0, 0, 1], [5, 6, 10, 7]], [[2, 3], [1, 1], [0, 3]]]
reward: 0.1769, epoch: 125, params: 2076883, epoch_time: 51.7436, genotype: [[4, [0, 0, 7, 0], [0, 2, 8, 7], [2, 5, 4, 7]], [[3, 3], [4, 1], [2, 1]]]
reward: 0.2666, epoch: 126, params: 2028883, epoch_time: 51.7188, genotype: [[2, [0, 0, 8, 0], [2, 1, 8, 10], [2, 2, 9, 0]], [[2, 3], [4, 1], [0, 1]]]
reward: 0.2886, epoch: 127, params: 2428883, epoch_time: 55.1581, genotype: [[0, [0, 0, 1, 9], [1, 3, 0, 0], [6, 4, 6, 0]], [[1, 0], [3, 1], [0, 2]]]
reward: 0.2443, epoch: 128, params: 2461139, epoch_time: 61.4652, genotype: [[0, [0, 0, 0, 1], [1, 2, 0, 7], [0, 6, 2, 1]], [[1, 1], [0, 1], [0, 0]]]
reward: 0.2584, epoch: 129, params: 2381651, epoch_time: 57.3398, genotype: [[6, [0, 0, 9, 10], [3, 3, 10, 0], [0, 5, 2, 1]], [[3, 0], [0, 1], [0, 2]]]
reward: 0.1593, epoch: 130, params: 2462547, epoch_time: 80.8873, genotype: [[3, [0, 0, 1, 7], [3, 2, 0, 4], [2, 5, 5, 7]], [[3, 0], [3, 3], [4, 5]]]
reward: 0.2308, epoch: 131, params: 2430291, epoch_time: 113.7241, genotype: [[0, [0, 0, 0, 5], [3, 3, 5, 8], [6, 3, 9, 4]], [[0, 1], [0, 4], [3, 5]]]
reward: 0.2587, epoch: 132, params: 2860499, epoch_time: 57.7255, genotype: [[7, [0, 0, 8, 6], [1, 3, 1, 5], [2, 2, 5, 0]], [[3, 2], [0, 0], [1, 3]]]
reward: 0.2367, epoch: 133, params: 2827603, epoch_time: 54.9673, genotype: [[9, [0, 0, 3, 0], [0, 3, 5, 5], [4, 1, 5, 5]], [[2, 1], [4, 4], [1, 0]]]
reward: 0.2871, epoch: 134, params: 2399443, epoch_time: 67.3758, genotype: [[0, [0, 0, 9, 4], [2, 2, 1, 10], [2, 2, 0, 6]], [[1, 1], [4, 1], [0, 3]]]
reward: 0.2776, epoch: 135, params: 2212435, epoch_time: 66.6810, genotype: [[10, [0, 0, 4, 8], [3, 3, 5, 0], [3, 1, 0, 10]], [[1, 1], [1, 4], [3, 0]]]
